sampleid	Study	Link	Host	Phylum	Class	Order	Family	Genus	Species	Diet	16S 515F-806R	Elevation	Latitude	Longitude	Year_Collected	Year_Given	Precipitation	Temp_Min	Temp_Max	Temp_Mean	Rel_Hum	Sun_Shine	Wind	ETo	Land_Water_Air	AquaStat_Link	Climate_Notes	Included	ExclusionReason	Captivity	GMTOL_Notes	16S515F-806R	initials	Continent
baldo1	Baldo_et_al_2018	https://academic.oup.com/femsec/article/94/2/fix186/4780271#109696013	Lilford's Wall Lizard	Chordata	Reptilia	Squamata	Lacertidae	Podarcis	Podarcis_Lilfordi	Omnivore	V3-V4	77	39.9496	4.1104	2015		38.25	7.2	31.4	17.84166667	57.48333333	17169603.17	4.08	107.5	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=39.9496287&lon=4.1104449&year=2015&datasource=agera5						V3-V4	AK	Europe
baldo2	Baldo_et_al_2018	https://academic.oup.com/femsec/article/94/2/fix186/4780271#109696013	Lilford's Wall Lizard	Chordata	Reptilia	Squamata	Lacertidae	Podarcis	Podarcis_Lilfordi	Omnivore	V3-V4	77	39.9496	4.1104	2015		38.25	7.2	31.4	17.84166667	57.48333333	17169603.17	4.08	107.5	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=39.9496287&lon=4.1104449&year=2015&datasource=agera5						V3-V4	AK	Europe
baldo3	Baldo_et_al_2018	https://academic.oup.com/femsec/article/94/2/fix186/4780271#109696013	Lilford's Wall Lizard	Chordata	Reptilia	Squamata	Lacertidae	Podarcis	Podarcis_Lilfordi	Omnivore	V3-V4	77	39.9496	4.1104	2015		38.25	7.2	31.4	17.84166667	57.48333333	17169603.17	4.08	107.5	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=39.9496287&lon=4.1104449&year=2015&datasource=agera5						V3-V4	AK	Europe
baldo4	Baldo_et_al_2018	https://academic.oup.com/femsec/article/94/2/fix186/4780271#109696013	Lilford's Wall Lizard	Chordata	Reptilia	Squamata	Lacertidae	Podarcis	Podarcis_Lilfordi	Omnivore	V3-V4	77	39.9496	4.1104	2015		38.25	7.2	31.4	17.84166667	57.48333333	17169603.17	4.08	107.5	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=39.9496287&lon=4.1104449&year=2015&datasource=agera5						V3-V4	AK	Europe
baldo5	Baldo_et_al_2018	https://academic.oup.com/femsec/article/94/2/fix186/4780271#109696013	Lilford's Wall Lizard	Chordata	Reptilia	Squamata	Lacertidae	Podarcis	Podarcis_Lilfordi	Omnivore	V3-V4	77	39.9496	4.1104	2015		38.25	7.2	31.4	17.84166667	57.48333333	17169603.17	4.08	107.5	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=39.9496287&lon=4.1104449&year=2015&datasource=agera5						V3-V4	AK	Europe
Weyrich1	Weyrich_et_al_2019	https://onlinelibrary-wiley-com.turing.library.northwestern.edu/doi/full/10.1111/mec.15240	Eastern Water Dragon	Chordata	Reptilia	Squamata	Agamidae	Intellagama	Intellagama_Lesueurii	Carnivore	V3-V4	14	-27.4744	153.0291	2015		93.33333333	9.7	28.8	20.25833333	56.30833333	17605244.92	2.81	112.0	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=-27.474366&lon=153.029116&year=2015&datasource=agera5						V3-V4	DW	Oceania
Weyrich2	Weyrich_et_al_2019	https://onlinelibrary-wiley-com.turing.library.northwestern.edu/doi/full/10.1111/mec.15240	Eastern Water Dragon	Chordata	Reptilia	Squamata	Agamidae	Intellagama	Intellagama_Lesueurii	Carnivore	V3-V4	14	-27.4744	153.0291	2015		93.33333333	9.7	28.8	20.25833333	56.30833333	17605244.92	2.81	112.0	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=-27.474366&lon=153.029116&year=2015&datasource=agera5						V3-V4	DW	Oceania
Weyrich3	Weyrich_et_al_2019	https://onlinelibrary-wiley-com.turing.library.northwestern.edu/doi/full/10.1111/mec.15240	Eastern Water Dragon	Chordata	Reptilia	Squamata	Agamidae	Intellagama	Intellagama_Lesueurii	Carnivore	V3-V4	14	-27.4744	153.0291	2015		93.33333333	9.7	28.8	20.25833333	56.30833333	17605244.92	2.81	112.0	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=-27.474366&lon=153.029116&year=2015&datasource=agera5						V3-V4	DW	Oceania
Weyrich4	Weyrich_et_al_2019	https://onlinelibrary-wiley-com.turing.library.northwestern.edu/doi/full/10.1111/mec.15240	Eastern Water Dragon	Chordata	Reptilia	Squamata	Agamidae	Intellagama	Intellagama_Lesueurii	Carnivore	V3-V4	14	-27.4744	153.0291	2015		93.33333333	9.7	28.8	20.25833333	56.30833333	17605244.92	2.81	112.0	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=-27.474366&lon=153.029116&year=2015&datasource=agera5						V3-V4	DW	Oceania
Weyrich5	Weyrich_et_al_2019	https://onlinelibrary-wiley-com.turing.library.northwestern.edu/doi/full/10.1111/mec.15240	Eastern Water Dragon	Chordata	Reptilia	Squamata	Agamidae	Intellagama	Intellagama_Lesueurii	Carnivore	V3-V4	14	-27.4744	153.0291	2015		93.33333333	9.7	28.8	20.25833333	56.30833333	17605244.92	2.81	112.0	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=-27.474366&lon=153.029116&year=2015&datasource=agera5						V3-V4	DW	Oceania
Tang1	Tang_et_al_2022	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9248866/	Tokay Gecko	Chordata	Reptilia	Squamata	Gekkonidae	Gekko	Gekko_gecko	Omnivore	V3-V4	110	22.4057	107.3533	2022	N	127.6666667	7.9	31.7	21.64166667	67.0	13879807.67	2.2	93.66666667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=22.4056599&lon=107.35325&year=2022&datasource=agera5						V3-V4	DW	Asia
Tang2	Tang_et_al_2022	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9248866/	Tokay Gecko	Chordata	Reptilia	Squamata	Gekkonidae	Gekko	Gekko_gecko	Omnivore	V3-V4	110	22.4057	107.3533	2022	N	127.6666667	7.9	31.7	21.64166667	67.0	13879807.67	2.2	93.66666667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=22.4056599&lon=107.35325&year=2022&datasource=agera5						V3-V4	DW	Asia
Tang3	Tang_et_al_2022	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9248866/	Tokay Gecko	Chordata	Reptilia	Squamata	Gekkonidae	Gekko	Gekko_gecko	Omnivore	V3-V4	110	22.4057	107.3533	2022	N	127.6666667	7.9	31.7	21.64166667	67.0	13879807.67	2.2	93.66666667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=22.4056599&lon=107.35325&year=2022&datasource=agera5						V3-V4	DW	Asia
Tang4	Tang_et_al_2022	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9248866/	Tokay Gecko	Chordata	Reptilia	Squamata	Gekkonidae	Gekko	Gekko_gecko	Omnivore	V3-V4	110	22.4057	107.3533	2022	N	127.6666667	7.9	31.7	21.64166667	67.0	13879807.67	2.2	93.66666667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=22.4056599&lon=107.35325&year=2022&datasource=agera5						V3-V4	DW	Asia
Tang5	Tang_et_al_2022	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9248866/	Tokay Gecko	Chordata	Reptilia	Squamata	Gekkonidae	Gekko	Gekko_gecko	Omnivore	V3-V4	110	22.4057	107.3533	2022	N	127.6666667	7.9	31.7	21.64166667	67.0	13879807.67	2.2	93.66666667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=22.4056599&lon=107.35325&year=2022&datasource=agera5						V3-V4	DW	Asia
Linzhang1	Linzhang_et_al_2021	https://www.mdpi.com/2076-2615/11/8/2461	Common Lizard	Chordata	Reptilia	Squamata	Lacertidae	Zootoca	Zootoca_Vivipara	Carnivore	V3-V4	15	20.02	110.3486	2019		108.8333333	18.7	31.6	25.58333333	78.00833333	18153538.42	4.67	121.9166667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=20.02&lon=110.3486&year=2019&datasource=agera5					datawaspaired-end_onlyusedsingleend	V3-V4	DW	Asia
Linzhang2	Linzhang_et_al_2021	https://www.mdpi.com/2076-2615/11/8/2461	Common Lizard	Chordata	Reptilia	Squamata	Lacertidae	Zootoca	Zootoca_Vivipara	Carnivore	V3-V4	15	20.02	110.3486	2019		108.8333333	18.7	31.6	25.58333333	78.00833333	18153538.42	4.67	121.9166667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=20.02&lon=110.3486&year=2019&datasource=agera5					datawaspaired-end_onlyusedsingleend	V3-V4	DW	Asia
Linzhang3	Linzhang_et_al_2021	https://www.mdpi.com/2076-2615/11/8/2461	Common Lizard	Chordata	Reptilia	Squamata	Lacertidae	Zootoca	Zootoca_Vivipara	Carnivore	V3-V4	15	20.02	110.3486	2019		108.8333333	18.7	31.6	25.58333333	78.00833333	18153538.42	4.67	121.9166667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=20.02&lon=110.3486&year=2019&datasource=agera5					datawaspaired-end_onlyusedsingleend	V3-V4	DW	Asia
Linzhang4	Linzhang_et_al_2021	https://www.mdpi.com/2076-2615/11/8/2461	Common Lizard	Chordata	Reptilia	Squamata	Lacertidae	Zootoca	Zootoca_Vivipara	Carnivore	V3-V4	15	20.02	110.3486	2019		108.8333333	18.7	31.6	25.58333333	78.00833333	18153538.42	4.67	121.9166667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=20.02&lon=110.3486&year=2019&datasource=agera5					datawaspaired-end_onlyusedsingleend	V3-V4	DW	Asia
Linzhang5	Linzhang_et_al_2021	https://www.mdpi.com/2076-2615/11/8/2461	Common Lizard	Chordata	Reptilia	Squamata	Lacertidae	Zootoca	Zootoca_Vivipara	Carnivore	V3-V4	15	20.02	110.3486	2019		108.8333333	18.7	31.6	25.58333333	78.00833333	18153538.42	4.67	121.9166667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=20.02&lon=110.3486&year=2019&datasource=agera5					datawaspaired-end_onlyusedsingleend	V3-V4	DW	Asia
Wang_Salamandra_Salamandra1	Wang_et_al_2021	https://www.nature.com/articles/s41598-021-98995-6	Fire Salamander	Chordata	Amphibia	Urodela	Salamandridae	Salamandra	Salamandra_Salamandra	Carnivore	V3-V4	37	50.9469	3.7263	2016		67.08333333	1.3	23.1	10.91666667	68.925	10675276.83	3.82	61.41666667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=50.946881&lon=3.726310&year=2016&datasource=agera5					Samplesdividedbyfemale_male_juvenile	V3-V4	AK	Europe
Wang_Salamandra_Salamandra2	Wang_et_al_2021	https://www.nature.com/articles/s41598-021-98995-6	Fire Salamander	Chordata	Amphibia	Urodela	Salamandridae	Salamandra	Salamandra_Salamandra	Carnivore	V3-V4	37	50.9469	3.7263	2016		67.08333333	1.3	23.1	10.91666667	68.925	10675276.83	3.82	61.41666667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=50.946881&lon=3.726310&year=2016&datasource=agera5					Samplesdividedbyfemale_male_juvenile	V3-V4	AK	Europe
Wang_Salamandra_Salamandra3	Wang_et_al_2021	https://www.nature.com/articles/s41598-021-98995-6	Fire Salamander	Chordata	Amphibia	Urodela	Salamandridae	Salamandra	Salamandra_Salamandra	Carnivore	V3-V4	37	50.9469	3.7263	2016		67.08333333	1.3	23.1	10.91666667	68.925	10675276.83	3.82	61.41666667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=50.946881&lon=3.726310&year=2016&datasource=agera5					Samplesdividedbyfemale_male_juvenile	V3-V4	AK	Europe
Wang_Salamandra_Salamandra4	Wang_et_al_2021	https://www.nature.com/articles/s41598-021-98995-6	Fire Salamander	Chordata	Amphibia	Urodela	Salamandridae	Salamandra	Salamandra_Salamandra	Carnivore	V3-V4	37	50.9469	3.7263	2016		67.08333333	1.3	23.1	10.91666667	68.925	10675276.83	3.82	61.41666667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=50.946881&lon=3.726310&year=2016&datasource=agera5					Samplesdividedbyfemale_male_juvenile	V3-V4	AK	Europe
Wang_Salamandra_Salamandra5	Wang_et_al_2021	https://www.nature.com/articles/s41598-021-98995-6	Fire Salamander	Chordata	Amphibia	Urodela	Salamandridae	Salamandra	Salamandra_Salamandra	Carnivore	V3-V4	37	50.9469	3.7263	2016		67.08333333	1.3	23.1	10.91666667	68.925	10675276.83	3.82	61.41666667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=50.946881&lon=3.726310&year=2016&datasource=agera5					Samplesdividedbyfemale_male_juvenile	V3-V4	AK	Europe
lyu1	Lyu_et_al_2022	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9136413/	Freshwater Gastropod	Mollusca	Gastropoda	Architaenioglossa	Viviparidae	Bellamya	Bellamya_Aeruginosa	Herbivore	V3-V4	5	29.91	121.64	2020		86.4469697	-11.8	33.6	17.45530303	62.7030303	15955593.88	3.29	96.47727273	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=29.910000&lon=121.640000&year=2020&datasource=agera5						V3-V4	EO	Asia
lyu2	Lyu_et_al_2022	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9136413/	Freshwater Gastropod	Mollusca	Gastropoda	Architaenioglossa	Viviparidae	Bellamya	Bellamya_Aeruginosa	Herbivore	V3-V4	5	29.91	121.64	2020		86.4469697	-11.8	33.6	17.45530303	62.7030303	15955593.88	3.29	96.47727273	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=29.910000&lon=121.640000&year=2020&datasource=agera5						V3-V4	EO	Asia
lyu3	Lyu_et_al_2022	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9136413/	Freshwater Gastropod	Mollusca	Gastropoda	Architaenioglossa	Viviparidae	Bellamya	Bellamya_Aeruginosa	Herbivore	V3-V4	5	29.91	121.64	2020		86.4469697	-11.8	33.6	17.45530303	62.7030303	15955593.88	3.29	96.47727273	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=29.910000&lon=121.640000&year=2020&datasource=agera5						V3-V4	EO	Asia
lyu4	Lyu_et_al_2022	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9136413/	Freshwater Gastropod	Mollusca	Gastropoda	Architaenioglossa	Viviparidae	Bellamya	Bellamya_Aeruginosa	Herbivore	V3-V4	5	29.91	121.64	2020		86.4469697	-11.8	33.6	17.45530303	62.7030303	15955593.88	3.29	96.47727273	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=29.910000&lon=121.640000&year=2020&datasource=agera5						V3-V4	EO	Asia
lyu5	Lyu_et_al_2022	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9136413/	Freshwater Gastropod	Mollusca	Gastropoda	Architaenioglossa	Viviparidae	Bellamya	Bellamya_Aeruginosa	Herbivore	V3-V4	5	29.91	121.64	2020		86.4469697	-11.8	33.6	17.45530303	62.7030303	15955593.88	3.29	96.47727273	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=29.910000&lon=121.640000&year=2020&datasource=agera5						V3-V4	EO	Asia
LinzhangII1	Linzhang_et_al_2022	https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.8586	Oriental Garden Lizard	Chordata	Reptilia	Squamata	Agamidae	Calotes	Calotes_Versicolor	Carnivore	V3-V4	15	20.02	110.3486	2019		108.8333333	18.7	31.6	25.58333333	78.00833333	18153538.42	4.67	121.9166667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=20.0199699&lon=110.34863&year=2019&datasource=agera5						V3-V4	DW	Asia
LinzhangII2	Linzhang_et_al_2022	https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.8586	Oriental Garden Lizard	Chordata	Reptilia	Squamata	Agamidae	Calotes	Calotes_Versicolor	Carnivore	V3-V4	15	20.02	110.3486	2019		108.8333333	18.7	31.6	25.58333333	78.00833333	18153538.42	4.67	121.9166667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=20.0199699&lon=110.34863&year=2019&datasource=agera5						V3-V4	DW	Asia
LinzhangII3	Linzhang_et_al_2022	https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.8586	Oriental Garden Lizard	Chordata	Reptilia	Squamata	Agamidae	Calotes	Calotes_Versicolor	Carnivore	V3-V4	15	20.02	110.3486	2019		108.8333333	18.7	31.6	25.58333333	78.00833333	18153538.42	4.67	121.9166667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=20.0199699&lon=110.34863&year=2019&datasource=agera5						V3-V4	DW	Asia
LinzhangII4	Linzhang_et_al_2022	https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.8586	Oriental Garden Lizard	Chordata	Reptilia	Squamata	Agamidae	Calotes	Calotes_Versicolor	Carnivore	V3-V4	15	20.02	110.3486	2019		108.8333333	18.7	31.6	25.58333333	78.00833333	18153538.42	4.67	121.9166667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=20.0199699&lon=110.34863&year=2019&datasource=agera5						V3-V4	DW	Asia
LinzhangII5	Linzhang_et_al_2022	https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.8586	Oriental Garden Lizard	Chordata	Reptilia	Squamata	Agamidae	Calotes	Calotes_Versicolor	Carnivore	V3-V4	15	20.02	110.3486	2019		108.8333333	18.7	31.6	25.58333333	78.00833333	18153538.42	4.67	121.9166667	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=20.0199699&lon=110.34863&year=2019&datasource=agera5						V3-V4	DW	Asia
Skrodenyte1	Skrodenyte_Arbaciauskiene_et_al_2021	https://link.springer.com/article/10.1007/s00248-021-01910-9#citeas	Baltic Salmon	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salmo	Salmo_Salar	Carnivore	V3-V4	161	54.706	25.5637	2019		51.91666667	-8.1	25.8	8.566666667	70.03333333	10536977.5	3.95	61.33333333	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=54.70603984080417&lon=25.56374462112692&year=2019&datasource=agera5					Twolocations	V3-V4	AS	Europe
Skrodenyte2	Skrodenyte_Arbaciauskiene_et_al_2021	https://link.springer.com/article/10.1007/s00248-021-01910-9#citeas	Baltic Salmon	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salmo	Salmo_Salar	Carnivore	V3-V4	161	54.706	25.5637	2019		51.91666667	-8.1	25.8	8.566666667	70.03333333	10536977.5	3.95	61.33333333	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=54.70603984080417&lon=25.56374462112692&year=2019&datasource=agera5					Twolocations	V3-V4	AS	Europe
Skrodenyte3	Skrodenyte_Arbaciauskiene_et_al_2021	https://link.springer.com/article/10.1007/s00248-021-01910-9#citeas	Baltic Salmon	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salmo	Salmo_Salar	Carnivore	V3-V4	161	54.706	25.5637	2019		51.91666667	-8.1	25.8	8.566666667	70.03333333	10536977.5	3.95	61.33333333	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=54.70603984080417&lon=25.56374462112692&year=2019&datasource=agera5					Twolocations	V3-V4	AS	Europe
Skrodenyte4	Skrodenyte_Arbaciauskiene_et_al_2021	https://link.springer.com/article/10.1007/s00248-021-01910-9#citeas	Baltic Salmon	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salmo	Salmo_Salar	Carnivore	V3-V4	161	54.706	25.5637	2019		51.91666667	-8.1	25.8	8.566666667	70.03333333	10536977.5	3.95	61.33333333	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=54.70603984080417&lon=25.56374462112692&year=2019&datasource=agera5					Twolocations	V3-V4	AS	Europe
Skrodenyte5	Skrodenyte_Arbaciauskiene_et_al_2021	https://link.springer.com/article/10.1007/s00248-021-01910-9#citeas	Baltic Salmon	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salmo	Salmo_Salar	Carnivore	V3-V4	161	54.706	25.5637	2019		51.91666667	-8.1	25.8	8.566666667	70.03333333	10536977.5	3.95	61.33333333	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=54.70603984080417&lon=25.56374462112692&year=2019&datasource=agera5					Twolocations	V3-V4	AS	Europe
ning1	Ning_et_al_2020	https://www.frontiersin.org/articles/10.3389/fmicb.2020.01665/full	Amur Tiger	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera_Tigris	Carnivore	V3-V4	594	40.2995	117.4776	2020	N	40.58333333	-10.3	27.4	9.775	42.775	15381675.83	2.29	84.25	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=40.299468&lon=117.477626&year=2020&datasource=agera5						V3-V4	NS	Asia
ning2	Ning_et_al_2020	https://www.frontiersin.org/articles/10.3389/fmicb.2020.01665/full	Amur Tiger	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera_Tigris	Carnivore	V3-V4	594	40.2995	117.4776	2020	N	40.58333333	-10.3	27.4	9.775	42.775	15381675.83	2.29	84.25	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=40.299468&lon=117.477626&year=2020&datasource=agera5						V3-V4	NS	Asia
ning3	Ning_et_al_2020	https://www.frontiersin.org/articles/10.3389/fmicb.2020.01665/full	Amur Tiger	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera_Tigris	Carnivore	V3-V4	594	40.2995	117.4776	2020	N	40.58333333	-10.3	27.4	9.775	42.775	15381675.83	2.29	84.25	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=40.299468&lon=117.477626&year=2020&datasource=agera5						V3-V4	NS	Asia
ning4	Ning_et_al_2020	https://www.frontiersin.org/articles/10.3389/fmicb.2020.01665/full	Amur Tiger	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera_Tigris	Carnivore	V3-V4	594	40.2995	117.4776	2020	N	40.58333333	-10.3	27.4	9.775	42.775	15381675.83	2.29	84.25	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=40.299468&lon=117.477626&year=2020&datasource=agera5						V3-V4	NS	Asia
ning5	Ning_et_al_2020	https://www.frontiersin.org/articles/10.3389/fmicb.2020.01665/full	Amur Tiger	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera_Tigris	Carnivore	V3-V4	594	40.2995	117.4776	2020	N	40.58333333	-10.3	27.4	9.775	42.775	15381675.83	2.29	84.25	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=40.299468&lon=117.477626&year=2020&datasource=agera5						V3-V4	NS	Asia
montoya1	Montoya_Ciriaco_et_al_2020	https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-0783-6	Mesquite Lizard	Chordata	Reptilia	Squamata	Iguanidae	Sceloporus	Sceloporus_Grammicus	Insectivore	V3-V4	4305	19.2314	-98.0319	2015		78.16666667	6.2	21.3	13.81666667	45.78333333	20631477.08	2.38	115.3333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=19.231400&lon=-98.031900&year=2015&datasource=agera5	elevation was varied					V3-V4	NS	North America
montoya2	Montoya_Ciriaco_et_al_2020	https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-0783-6	Mesquite Lizard	Chordata	Reptilia	Squamata	Iguanidae	Sceloporus	Sceloporus_Grammicus	Insectivore	V3-V4	4305	19.2314	-98.0319	2015		78.16666667	6.2	21.3	13.81666667	45.78333333	20631477.08	2.38	115.3333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=19.231400&lon=-98.031900&year=2015&datasource=agera5	elevation was varied					V3-V4	NS	North America
montoya3	Montoya_Ciriaco_et_al_2020	https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-0783-6	Mesquite Lizard	Chordata	Reptilia	Squamata	Iguanidae	Sceloporus	Sceloporus_Grammicus	Insectivore	V3-V4	4305	19.2314	-98.0319	2015		78.16666667	6.2	21.3	13.81666667	45.78333333	20631477.08	2.38	115.3333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=19.231400&lon=-98.031900&year=2015&datasource=agera5	elevation was varied					V3-V4	NS	North America
montoya4	Montoya_Ciriaco_et_al_2020	https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-0783-6	Mesquite Lizard	Chordata	Reptilia	Squamata	Iguanidae	Sceloporus	Sceloporus_Grammicus	Insectivore	V3-V4	4305	19.2314	-98.0319	2015		78.16666667	6.2	21.3	13.81666667	45.78333333	20631477.08	2.38	115.3333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=19.231400&lon=-98.031900&year=2015&datasource=agera5	elevation was varied					V3-V4	NS	North America
montoya5	Montoya_Ciriaco_et_al_2020	https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-0783-6	Mesquite Lizard	Chordata	Reptilia	Squamata	Iguanidae	Sceloporus	Sceloporus_Grammicus	Insectivore	V3-V4	4305	19.2314	-98.0319	2015		78.16666667	6.2	21.3	13.81666667	45.78333333	20631477.08	2.38	115.3333333	Land	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=19.231400&lon=-98.031900&year=2015&datasource=agera5	elevation was varied					V3-V4	NS	North America
zoqratt-1	Zoqratt_et_al_2018	https://peerj.com/articles/5826/#supp-1	Pacific White Shrimp	Arthropoda	Malacostraca	Decapoda	Penaeidae	Litopenaeus	Litopenaeus_Vannamei	Omnivore	V3-V4	9	4.2168	100.6978	2016		230.25	24.6	30.0	27.28333333	78.69166667	18025020.42	2.18	117.0	Water	https://aquastat.fao.org/climate-information-tool/complete-climate-data?lat=4.216825&lon=100.6978241&year=2016&datasource=agera5					farmraised	V3-V4	ES	Asia
